model,activation,initializer,optimizer,regularizer,dropout,test_acc,test_loss,plot
cnn,relu,he_uniform,sgd_good,,,0.9146999716758728,0.2848363220691681,src/task_1/plots/cnn/cnn_1_relu_he_uniform_sgd_good_None_dropNone.png
cnn,relu,he_uniform,sgd_good,l2,,0.9067000150680542,0.4669007956981659,src/task_1/plots/cnn/cnn_2_relu_he_uniform_sgd_good_l2_dropNone.png
cnn,relu,he_uniform,adam_good,l2,,0.8974999785423279,0.4060157835483551,src/task_1/plots/cnn/cnn_3_relu_he_uniform_adam_good_l2_dropNone.png
cnn,relu,he_uniform,sgd_good,,0.3,0.9154000282287598,0.25652122497558594,src/task_1/plots/cnn/cnn_4_relu_he_uniform_sgd_good_None_drop0.3.png
cnn,relu,he_uniform,sgd_good,,0.7,0.8834999799728394,0.3493756055831909,src/task_1/plots/cnn/cnn_5_relu_he_uniform_sgd_good_None_drop0.7.png
cnn,relu,random_normal,adam_good,,0.3,0.9172000288963318,0.2872413694858551,src/task_1/plots/cnn/cnn_6_relu_random_normal_adam_good_None_drop0.3.png
cnn,sigmoid,he_uniform,sgd_good,,0.3,0.10000000149011612,2.302746295928955,src/task_1/plots/cnn/cnn_7_sigmoid_he_uniform_sgd_good_None_drop0.3.png
cnn,sigmoid,random_normal,sgd_bad,,0.7,0.10000000149011612,2.3065192699432373,src/task_1/plots/cnn/cnn_8_sigmoid_random_normal_sgd_bad_None_drop0.7.png
cnn,relu,he_uniform,sgd_good,l2,,0.9107999801635742,0.459151953458786,src/task_1/plots/cnn/cnn_9_relu_he_uniform_sgd_good_l2_dropNone.png
cnn,relu,random_normal,sgd_good,l1,,0.8449000120162964,0.6144496202468872,src/task_1/plots/cnn/cnn_10_relu_random_normal_sgd_good_l1_dropNone.png
cnn,relu,random_normal,adam_bad,l2,,0.10000000149011612,7.67856502532959,src/task_1/plots/cnn/cnn_11_relu_random_normal_adam_bad_l2_dropNone.png
cnn,sigmoid,he_uniform,sgd_bad,l1,,0.10000000149011612,44.836307525634766,src/task_1/plots/cnn/cnn_12_sigmoid_he_uniform_sgd_bad_l1_dropNone.png
cnn,relu,random_normal,adam_bad,,,0.10000000149011612,2.3076493740081787,src/task_1/plots/cnn/cnn_13_relu_random_normal_adam_bad_None_dropNone.png
cnn,relu,he_uniform,adam_bad,,,0.10000000149011612,2.3087985515594482,src/task_1/plots/cnn/cnn_14_relu_he_uniform_adam_bad_None_dropNone.png
cnn,sigmoid,random_normal,sgd_bad,,,0.10000000149011612,2.303926944732666,src/task_1/plots/cnn/cnn_15_sigmoid_random_normal_sgd_bad_None_dropNone.png
cnn,sigmoid,he_uniform,sgd_good,l2,,0.10000000149011612,2.3752822875976562,src/task_1/plots/cnn/cnn_16_sigmoid_he_uniform_sgd_good_l2_dropNone.png
cnn,sigmoid,he_uniform,adam_good,,0.3,0.10000000149011612,2.3026256561279297,src/task_1/plots/cnn/cnn_17_sigmoid_he_uniform_adam_good_None_drop0.3.png
cnn,relu,random_normal,sgd_good,l1,,0.85589998960495,0.5990506410598755,src/task_1/plots/cnn/cnn_18_relu_random_normal_sgd_good_l1_dropNone.png
cnn,relu,he_uniform,sgd_good,l2,0.3,0.9024999737739563,0.47233182191848755,src/task_1/plots/cnn/cnn_19_relu_he_uniform_sgd_good_l2_drop0.3.png
cnn,relu,he_uniform,adam_good,l1,0.3,0.8414000272750854,0.8570191264152527,src/task_1/plots/cnn/cnn_20_relu_he_uniform_adam_good_l1_drop0.3.png
cnn,sigmoid,random_normal,sgd_bad,l2,0.7,0.10000000149011612,5.838954448699951,src/task_1/plots/cnn/cnn_21_sigmoid_random_normal_sgd_bad_l2_drop0.7.png
cnn,relu,random_normal,adam_bad,l2,0.7,0.10000000149011612,3.1759185791015625,src/task_1/plots/cnn/cnn_22_relu_random_normal_adam_bad_l2_drop0.7.png
cnn,sigmoid,he_uniform,sgd_bad,,0.7,0.10000000149011612,2.3162968158721924,src/task_1/plots/cnn/cnn_23_sigmoid_he_uniform_sgd_bad_None_drop0.7.png
cnn,relu,he_uniform,sgd_bad,,0.7,0.7243000268936157,1.708190679550171,src/task_1/plots/cnn/cnn_24_relu_he_uniform_sgd_bad_None_drop0.7.png
