model,mean_cse,median_cse,p90_cse
light_clf24,184.6344451904297,187.0,326.0
light_clf144,185.0594482421875,187.5,325.5999755859375
light_clf720,183.92832946777344,185.5,325.5
light_reg,129.4510955810547,103.92776489257812,284.5555725097656
light_circle,175.1490478515625,171.99998474121094,319.2705383300781
light_multi_circle,180.17037963867188,180.35235595703125,323.7190246582031
medium_clf24,8.083333015441895,7.0,14.0
medium_clf144,82.57221984863281,59.5,249.699951171875
medium_clf720,19.577777862548828,0.5,56.5
medium_reg,24.566734313964844,16.546157836914062,51.012332916259766
medium_circle,8.890364646911621,7.105045318603516,18.33469581604004
medium_multi_circle,1.4077558517456055,0.6367378234863281,1.5908691883087158
heavy_clf24,181.42111206054688,183.0,323.0999755859375
heavy_clf144,183.2949981689453,185.5,325.5
heavy_clf720,183.5094451904297,186.5,322.5
heavy_reg,12.375360488891602,8.0015869140625,25.596132278442383
heavy_circle,3.777897596359253,2.90301513671875,7.816442966461182
heavy_multi_circle,0.894382894039154,0.507720947265625,1.3364874124526978
